Agree All,"הבנתי, תודה",module,Mirasvit_Gdpr
"Privacy Dashboard","הגדרות פרטיות"
"Anonymize personal data","הפוך נתונים אישיים לאנונימיים"
"You can request the anonymization of the personal data we have stored.","אתה יכול לבקש את האנונימיזציה של הנתונים האישיים שאנו שומרים."
"Delete account","מחיקת חשבון"
"You can request the deletion of your data, including the account that we have stored.","את/ה יכולים לבקש למחוק את הנתונים שלכם, כולל החשבון ששמרנו במערכת שלנו."
"Download personal data","הורד נתונים אישיים"
"You can download and review all of your personal data that we have stored.","ניתן להוריד ולעיין בכל הנתונים האישיים שלך שאנו שומרים."
"My Consents","העגויות שלי"
"You can review all consents that you provide during navigation in the store.","ניתן לעיין בכל ההסכמות שנתת במהלך הגלישה בחנות."
"Cookie Consent","ניהול עוגיות"
"You can review your cookie contents and update them if necessary.","אתם יכולים לעיין בכל ההסכמות שאתם נתתם במהלך הגלישה בחנות."
"You can request the anonymization of your personal data that we have stored by clicking the button below:","ניתן לבקש את האנונימיזציה של הנתונים האישיים השמורים אצלנו בלחיצה על הכפתור למטה:"
"Anonymize my account","הפוך את החשבון שלי לאנונימי"
"You can request the deletion of your data that we have stored by clicking the button below:","ניתן לבקש את מחיקת הנתונים שנשמרו על-ידינו באמצעות לחיצה על הכפתור שלהלן."
"Delete my account","מחיקת החשבון"
"You can download all your data that we have stored by clicking the button below:","ניתן להוריד את כל הנתונים שנשמרו על־ידינו באמצעות לחיצה על הכפתור שלהלן."
"Hide","הסתר"
"To anonymize your account as well as your data from our website, please submit the form.","כדי להפוך את חשבונך ואת הנתונים שלך באתר שלנו לאנונימיים, אנא שלח את הטופס."
"Please be aware that we will delete your addresses and will update your name to Anonymous.","לידיעתך, אנו נמחק את כתובותיך ונעדכן את שמך ל""אנונימי""."
"We will also update your name in the orders. Kindly ensure that you do not have any pending orders.","אנו גם נעדכן את שמך בהזמנות. אנא ודא שאין לך הזמנות בהמתנה."
"I understand and want anonymize my personal data","אני מבין ומבקש להסתיר את זהותי האישית"
"Process","תהליך"
"Please keep in mind that we are deleting your account. After the deletion of your account, you will not be able to access your account anymore.","אנא שים לב שאנו מוחקים את חשבונך. לאחר מחיקת חשבונך, לא תוכל לגשת אליו יותר."
"I understand and want remove my personal data","אני מבין ומבקש להסיר את המידע האישי שלי"
"Send request","שלח בקשה"
"The password is wrong. Please enter correct password.","הסיסמה שגויה. אנא הזן סיסמה נכונה."
"My Consent Choices","אפשרויות ההסכמה שלי"
"Consent Type","סוג ההסכמה"
"Cookie Groups","קבוצות עוגיות"